order,question_ar,type,options_ar,required,decision_usage
1,"آخر 7 أيام: كم مرة حصل تشوش منعك تتحرك؟","scale_0_7","0|1|2|3|4|5|6|7+",yes,"قياس تكرار الألم وتحديد الشريحة الأعلى احتياجًا"
2,"أول رد فعل عند التشوش؟","multiple_choice","أؤجل|أتكلم مع شخص|أكتب ملاحظات|أتشتت في السوشيال|غير ذلك",yes,"تحديد السلوك الفعلي ونقطة الدخول الأنسب"
3,"الحل الحالي يساعدني آخذ خطوة واضحة.","linear_scale_1_5","1|2|3|4|5",yes,"قياس baseline جودة البدائل الحالية"
4,"أكثر شيء تكرهه في الحل الحالي؟","multiple_choice","عام جدًا|بطيء|غير عملي|مرهق ذهنيًا|مخاوف خصوصية",yes,"ترتيب أولويات التحسين في المنتج"
5,"أثق أن أداة رقمية يمكنها فهم سياقي الفعلي.","linear_scale_1_5","1|2|3|4|5",yes,"قياس حاجز الثقة قبل التبني"
6,"أفضل نتيجة بالنسبة لي: خطوة واحدة قابلة للتنفيذ الآن.","linear_scale_1_5","1|2|3|4|5",yes,"التحقق من صحة JTBD الأساسي"
7,"الوسيط المفضل وقت الضغط؟","multiple_choice","صوت|نص|مختلط",yes,"تحديد أولوية تجربة الاستخدام (Voice vs Text)"
8,"لو حصلت على خطوة دقيقة خلال 10 دقائق، سأستخدم الأداة أسبوعيًا.","linear_scale_1_5","1|2|3|4|5",yes,"تقدير نية التبني والاحتفاظ المبكر"
9,"أحتاج متابعة بعد الجلسة (تذكير/تتبع تنفيذ).","linear_scale_1_5","1|2|3|4|5",yes,"تحديد قيمة طبقة ما بعد الجلسة"
10,"ما الجملة التي لو سمعتها بعد الجلسة ستقول: هذا ما أحتاجه؟","open_text","",yes,"استخراج لغة المستخدم لتحسين الرسائل وواجهة البداية"
